label,answer,hint,explanation,theme,difficulty
Le·la Jammer Lead peut-iel appeler la fin du Jam ?,Oui,Pensez au privilège spécifique du·de la Jammer Lead.,"Oui, le·la Jammer Lead peut appeler la fin du Jam en tapotant ses hanches. Cela permet de contrôler le score et le timing.",Lead Jammer,1
Le·la Pivot peut-il·elle devenir Jammer ?,Oui,Réfléchissez au rôle spécifique de la coiffe à bande.,"Oui, le·la Pivot peut devenir Jammer en recevant la coiffe étoilée lors d'un 'star pass'.",Rôles des joueur·euses,2
Un match de roller derby se joue-t-il en deux périodes ?,Oui,Réfléchissez à la structure globale d'un match.,"Oui, un match de roller derby est composé de deux périodes de 30 minutes chacune.",Durée des matchs,1
Le·la Jammer Lead peut-iel perdre son statut de Lead ?,Oui,Pensez aux fautes qui pourraient annuler ce statut.,"Oui, un·e Jammer Lead perd son statut s'iel reçoit une pénalité pendant le Jam.",Lead Jammer,2
Le rôle des NSO (Non-Skating Officials) est-il de surveiller le temps et les points ?,Oui,Réfléchissez aux fonctions de soutien des arbitres non-patinant·es.,"Oui, les NSO gèrent le temps, les scores, les pénalités et les statistiques pour assurer le bon déroulement du match.",Rôle des arbitres,2
Un·e joueur·euse peut-iel revenir immédiatement sur la piste après avoir purgé une pénalité ?,Oui,Réfléchissez au temps passé en Penalty Box.,"Oui, un·e joueur·euse peut revenir sur la piste dès que ses 30 secondes de pénalité sont terminées.",Penalty Box,1
Un Jammer peut-iel marquer des points lors de son premier tour ?,Non,Pensez au tour initial et à sa fonction.,"Non, le premier tour est le tour de qualification. Les points ne peuvent être marqués qu'après avoir dépassé le Pack une première fois.",Marquer des points,2
Le·la Pivot peut-iel bloquer comme un·e bloqueur·euse classique ?,Oui,Réfléchissez à ses rôles multiples.,"Oui, le·la Pivot peut bloquer comme un·e bloqueur·euse ordinaire, en plus d'avoir la possibilité de devenir Jammer.",Rôles des joueur·euses,1
Un·e Jammer peut-iel marquer des points sur un·e joueur·euse adversaire en Penalty Box ?,Oui,Réfléchissez aux points marqués hors de la piste.,"Oui, un·e Jammer marque automatiquement des points sur les joueur·euses adverses en Penalty Box lorsqu'iel dépasse le Pack.",Marquer des points,2
Un Pack est-il formé lorsque les bloqueur·euses des deux équipes sont à proximité les un·es des autres ?,Oui,Pensez à la définition du Pack.,"Oui, le Pack est la zone où les bloqueur·euses des deux équipes sont regroupé·es à moins de 3 mètres les un·es des autres.",Pack,1
Un match peut-il commencer sans un Pack légal ?,Non,Réfléchissez à la condition nécessaire pour démarrer un match.,"Non, le match ne peut pas commencer tant qu'un Pack légal n'est pas formé. Cela garantit que le jeu commence dans les règles.",Pack,2
Un·e Jammer doit-iel porter la coiffe étoilée pour marquer des points ?,Oui,Pensez à ce qui identifie le·la Jammer.,"Oui, le·la Jammer doit porter la coiffe étoilée sur son casque pour marquer des points. Si la coiffe est enlevée ou tombée, iel ne peut pas marquer.",Rôles des joueur·euses,1
Un·e bloqueur·euse peut-iel quitter la piste volontairement pour éviter un contact ?,Non,Pensez à l'importance de rester dans les limites.,"Non, quitter la piste volontairement pour éviter un contact est considéré comme une faute de 'Skating Out of Bounds'.",Rôles des joueur·euses,2
Les arbitres peuvent-iels arrêter un match pour des raisons de sécurité ?,Oui,Pensez à leur rôle pour garantir un jeu sûr.,"Oui, les arbitres ont le pouvoir d'arrêter un match à tout moment pour des raisons de sécurité ou de blessure.",Rôle des arbitres,1
Est-ce que le·la Jammer doit dépasser légalement les bloqueur·euses adverses pour obtenir le statut de Lead ?,Oui,Réfléchissez à la condition pour obtenir le statut de Lead.,"Oui, le·la Jammer doit dépasser légalement et en premier les bloqueur·euses adverses pour être Lead.",Lead Jammer,2
