label,possible_a,possible_b,possible_c,possible_d,answer,hint,explanation,theme,difficulty
Quelle est la durée standard d'une pénalité en Penalty Box ?,10 secondes,20 secondes,30 secondes,40 secondes,30 secondes,Réfléchissez à la durée de base pour une faute.,Une pénalité standard dure 30 secondes. Toute sortie prématurée entraîne une faute supplémentaire.,Penalty Box,1
Combien d'arbitres patinent sur la piste en général ?,5,6,7,8,7,Réfléchissez à la couverture nécessaire pour surveiller un match.,"En général, 7 arbitres patinent pour surveiller les actions sur la piste.",Rôle des arbitres,2
Comment un·e Jammer marque-t-iel des points ?,En bloquant des adversaires,En patinant plus vite qu'eux·elles,En dépassant les hanches des adversaires,En touchant les cônes de piste,En dépassant les hanches des adversaires,Pensez à ce qui est requis pour valider un point.,Un·e Jammer marque des points en dépassant légalement les hanches des adversaires.,Marquer des points,1
Quelle faute est appelée si un·e joueur·euse utilise ses bras pour bloquer ?,Low Block,Forearm,Back Block,Out of Play,Forearm,Pensez à l'utilisation illégale des bras.,Une faute de type 'Forearm' est appelée lorsqu'un·e joueur·euse utilise ses bras pour bloquer.,Fautes,2
Combien de fautes un·e joueur·euse peut-iel accumuler avant d'être expulsé·e ?,5,6,7,8,7,Réfléchissez au nombre maximum autorisé avant une expulsion.,Un·e joueur·euse est expulsé·e après avoir accumulé 7 fautes.,Accumulation de fautes,1
Que signifie 'Cutting the Track' ?,Quitter volontairement la piste,Passer un adversaire hors des limites,Patiner à contre-sens,Rentrer dans la Penalty Box,Passer un adversaire hors des limites,Réfléchissez aux règles sur les dépassements.,Cutting the Track' se produit lorsqu'un·e joueur·euse dépasse un·e adversaire en étant hors des limites.,Fautes,2
Quel·le joueur·euse est chargé·e de signaler la fin de la période ?,Jammer Lead,Pivot,SO,Head Referee,Head Referee,Pensez au rôle principal de supervision.,Le·la Head Referee est responsable de signaler la fin de la période.,Rôle des arbitres,3
Un·e joueur·euse peut-iel bloquer hors du Pack ?,Oui,Non,Seulement si iel est le·la Pivot,Seulement si iel a le statut Lead,Non,Réfléchissez à la définition du Pack et aux règles de blocage.,Bloquer hors du Pack est illégal car cela sort de la zone de jeu définie.,Zones légales,2
Combien de bloqueur·euses composent une équipe sur la piste ?,2,3,4,5,4,Réfléchissez à la composition normale d'une équipe.,"Chaque équipe a 4 bloqueur·euses, dont un·e peut être Pivot.",Rôles des joueur·euses,1
Que doit faire un·e Jammer pour obtenir le statut Lead ?,Être le premier à sortir du Pack,Être le premier à bloquer un adversaire,Être désigné par le·la Head Referee,Terminer le premier tour sans faute,Être le premier à sortir du Pack,Pensez au rôle principal du·de la Jammer Lead.,"Pour obtenir le statut Lead, le·la Jammer doit être le premier à dépasser le Pack légalement et sans faute.",Lead Jammer,2
Un·e joueur·euse peut-iel réintégrer la piste après avoir été pénalisé·e sans purger ses 30 secondes ?,Oui,Non,Seulement si un·e remplaçant·e entre en piste,Seulement sur décision du·de la Head Referee,Non,Réfléchissez à la durée obligatoire des pénalités.,Un·e joueur·euse doit purger ses 30 secondes complètes avant de revenir sur la piste.,Penalty Box,2
Que se passe-t-il si un·e joueur·euse accumule 7 fautes ?,Iel est exclu·e du Jam actuel,Iel est retiré·e du match,Iel est suspendu·e pour 10 minutes,Iel reçoit une amende,Iel est retiré·e du match,Pensez au seuil maximum pour rester en jeu.,Un·e joueur·euse est retiré·e du match après avoir accumulé 7 fautes.,Accumulation de fautes,2
Quelle action est considérée comme une faute de 'Low Block' ?,Utiliser les coudes pour bloquer,Bloquer avec le bas du corps,Bloquer un adversaire hors du Pack,Faire un contact avec la tête,Bloquer avec le bas du corps,Pensez aux contacts bas dangereux.,"Low Block' est une faute causée par un contact illégal avec le bas du corps, comme les jambes.",Fautes,3
Comment appelle-t-on un·e arbitre qui ne patine pas ?,SO,NSO,Referee,Head Referee,NSO,Pensez au rôle spécifique des arbitres non-patinant·es.,Les NSO (Non-Skating Officials) jouent un rôle clé dans la gestion du match sans patiner.,Rôle des arbitres,2
Que signifie 'Out of Play' ?,Bloquer hors des limites du terrain,Être trop éloigné·e du Pack principal,Dépasser un adversaire illégalement,S'inscrire au match après son début,Être trop éloigné·e du Pack principal,Réfléchissez à la distance par rapport au Pack.,Out of Play' se produit lorsqu'un·e joueur·euse est trop éloigné·e du Pack principal.,Fautes,3
Le·la Jammer peut-iel marquer des points sur un·e joueur·euse en Penalty Box ?,Oui,Non,Seulement en cas de faute,S'il y a un avantage numérique,Oui,Pensez à ce qui se passe hors de la piste.,Un·e Jammer marque des points automatiquement sur les adversaires en Penalty Box.,Marquer des points,2
Quel geste doit faire le·la Jammer Lead pour appeler la fin d'un Jam ?,Lever les bras,Faire signe aux arbitres,Tapoter ses hanches,Crier 'Stop',Tapoter ses hanches,Réfléchissez au geste standard.,Le·la Jammer Lead appelle la fin du Jam en tapotant ses hanches.,Lead Jammer,1
Le·la Pivot peut-iel bloquer des adversaires ?,Oui,Non,Seulement s'iel devient Jammer,Seulement en début de Jam,Oui,Pensez aux multiples fonctions du·de la Pivot.,Le·la Pivot peut bloquer comme un·e bloqueur·euse classique.,Rôles des joueur·euses,1
Comment appelle-t-on le·la joueur·euse désigné·e pour surveiller les fautes majeures ?,NSO,SO,Head Referee,Jammer Lead,Head Referee,Réfléchissez au rôle principal de supervision.,Le·la Head Referee supervise les fautes et prend les décisions majeures.,Rôle des arbitres,3
